Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;
Variável - Área plantada;;;;;;
Nível;Cód.;Brasil e Município;Ano x Produto das lavouras temporárias;;;
;;;2019;;;
;;;Total;;Soja (em grão);
MU;2400307;Afonso Bezerra (RN);1145;Hectares;-;Hectares
MU;2400406;Água Nova (RN);342;Hectares;-;Hectares
MU;2400505;Alexandria (RN);507;Hectares;-;Hectares
MU;2400604;Almino Afonso (RN);293;Hectares;-;Hectares
MU;2400703;Alto do Rodrigues (RN);440;Hectares;-;Hectares
MU;2400802;Angicos (RN);650;Hectares;-;Hectares
MU;2400901;Antônio Martins (RN);820;Hectares;-;Hectares
MU;2401008;Apodi (RN);3255;Hectares;-;Hectares
MU;2401107;Areia Branca (RN);400;Hectares;-;Hectares
MU;2401206;Arês (RN);5110;Hectares;-;Hectares
MU;2401305;Augusto Severo (RN);265;Hectares;-;Hectares
MU;2401404;Baía Formosa (RN);19180;Hectares;-;Hectares
MU;2401453;Baraúna (RN);11100;Hectares;-;Hectares
MU;2401503;Barcelona (RN);605;Hectares;-;Hectares
MU;2401602;Bento Fernandes (RN);327;Hectares;-;Hectares
MU;2401651;Bodó (RN);2503;Hectares;-;Hectares
MU;2401701;Bom Jesus (RN);1706;Hectares;-;Hectares
MU;2401800;Brejinho (RN);230;Hectares;-;Hectares
MU;2401859;Caiçara do Norte (RN);850;Hectares;-;Hectares
MU;2401909;Caiçara do Rio do Vento (RN);320;Hectares;-;Hectares
MU;2402006;Caicó (RN);100;Hectares;-;Hectares
MU;2402105;Campo Redondo (RN);917;Hectares;-;Hectares
MU;2402204;Canguaretama (RN);15240;Hectares;-;Hectares
MU;2402303;Caraúbas (RN);1330;Hectares;-;Hectares
MU;2402402;Carnaúba dos Dantas (RN);335;Hectares;-;Hectares
MU;2402501;Carnaubais (RN);2310;Hectares;-;Hectares
MU;2402600;Ceará-Mirim (RN);4350;Hectares;-;Hectares
MU;2402709;Cerro Corá (RN);5610;Hectares;-;Hectares
MU;2402808;Coronel Ezequiel (RN);927;Hectares;-;Hectares
MU;2402907;Coronel João Pessoa (RN);609;Hectares;-;Hectares
MU;2403004;Cruzeta (RN);218;Hectares;-;Hectares
MU;2403103;Currais Novos (RN);283;Hectares;-;Hectares
MU;2403202;Doutor Severiano (RN);909;Hectares;-;Hectares
MU;2403251;Parnamirim (RN);15;Hectares;-;Hectares
MU;2403301;Encanto (RN);374;Hectares;-;Hectares
MU;2403400;Equador (RN);299;Hectares;-;Hectares
MU;2403509;Espírito Santo (RN);105;Hectares;-;Hectares
MU;2403608;Extremoz (RN);167;Hectares;-;Hectares
MU;2403707;Felipe Guerra (RN);473;Hectares;-;Hectares
MU;2403756;Fernando Pedroza (RN);160;Hectares;-;Hectares
MU;2403806;Florânia (RN);983;Hectares;-;Hectares
MU;2403905;Francisco Dantas (RN);450;Hectares;-;Hectares
MU;2404002;Frutuoso Gomes (RN);451;Hectares;-;Hectares
MU;2404101;Galinhos (RN);380;Hectares;-;Hectares
MU;2404200;Goianinha (RN);6210;Hectares;-;Hectares
MU;2404309;Governador Dix-Sept Rosado (RN);3816;Hectares;-;Hectares
MU;2404408;Grossos (RN);610;Hectares;-;Hectares
MU;2404507;Guamaré (RN);1300;Hectares;-;Hectares
MU;2404606;Ielmo Marinho (RN);2123;Hectares;-;Hectares
MU;2404705;Ipanguaçu (RN);180;Hectares;-;Hectares
MU;2404804;Ipueira (RN);306;Hectares;-;Hectares
MU;2404853;Itajá (RN);220;Hectares;-;Hectares
MU;2404903;Itaú (RN);1140;Hectares;-;Hectares
MU;2405009;Jaçanã (RN);852;Hectares;-;Hectares
MU;2405108;Jandaíra (RN);660;Hectares;-;Hectares
MU;2405207;Janduís (RN);325;Hectares;-;Hectares
MU;2405306;Januário Cicco (RN);2305;Hectares;-;Hectares
MU;2405405;Japi (RN);503;Hectares;-;Hectares
MU;2405504;Jardim de Angicos (RN);218;Hectares;-;Hectares
MU;2405603;Jardim de Piranhas (RN);202;Hectares;-;Hectares
MU;2405702;Jardim do Seridó (RN);230;Hectares;-;Hectares
MU;2405801;João Câmara (RN);471;Hectares;-;Hectares
MU;2405900;João Dias (RN);325;Hectares;-;Hectares
MU;2406007;José da Penha (RN);1158;Hectares;-;Hectares
MU;2406106;Jucurutu (RN);337;Hectares;-;Hectares
MU;2406155;Jundiá (RN);495;Hectares;-;Hectares
MU;2406205;Lagoa d'Anta (RN);1711;Hectares;-;Hectares
MU;2406304;Lagoa de Pedras (RN);220;Hectares;-;Hectares
MU;2406403;Lagoa de Velhos (RN);507;Hectares;-;Hectares
MU;2406502;Lagoa Nova (RN);3600;Hectares;-;Hectares
MU;2406601;Lagoa Salgada (RN);122;Hectares;-;Hectares
MU;2406700;Lajes (RN);1130;Hectares;-;Hectares
MU;2406809;Lajes Pintadas (RN);535;Hectares;-;Hectares
MU;2406908;Lucrécia (RN);471;Hectares;-;Hectares
MU;2407005;Luís Gomes (RN);738;Hectares;-;Hectares
MU;2407104;Macaíba (RN);570;Hectares;-;Hectares
MU;2407203;Macau (RN);479;Hectares;-;Hectares
MU;2407252;Major Sales (RN);334;Hectares;-;Hectares
MU;2407302;Marcelino Vieira (RN);803;Hectares;-;Hectares
MU;2407401;Martins (RN);434;Hectares;-;Hectares
MU;2407500;Maxaranguape (RN);605;Hectares;-;Hectares
MU;2407609;Messias Targino (RN);300;Hectares;-;Hectares
MU;2407708;Montanhas (RN);150;Hectares;-;Hectares
MU;2407807;Monte Alegre (RN);490;Hectares;-;Hectares
MU;2407906;Monte das Gameleiras (RN);833;Hectares;-;Hectares
MU;2408003;Mossoró (RN);14050;Hectares;-;Hectares
MU;2408102;Natal (RN);...;Hectares;...;Hectares
MU;2408201;Nísia Floresta (RN);1155;Hectares;-;Hectares
MU;2408300;Nova Cruz (RN);785;Hectares;-;Hectares
MU;2408409;Olho d'Água do Borges (RN);1100;Hectares;-;Hectares
MU;2408508;Ouro Branco (RN);153;Hectares;-;Hectares
MU;2408607;Paraná (RN);625;Hectares;-;Hectares
MU;2408706;Paraú (RN);300;Hectares;-;Hectares
MU;2408805;Parazinho (RN);505;Hectares;-;Hectares
MU;2408904;Parelhas (RN);660;Hectares;-;Hectares
MU;2408953;Rio do Fogo (RN);130;Hectares;-;Hectares
MU;2409100;Passa e Fica (RN);1721;Hectares;-;Hectares
MU;2409209;Passagem (RN);180;Hectares;-;Hectares
MU;2409308;Patu (RN);790;Hectares;-;Hectares
MU;2409332;Santa Maria (RN);609;Hectares;-;Hectares
MU;2409407;Pau dos Ferros (RN);890;Hectares;-;Hectares
MU;2409506;Pedra Grande (RN);370;Hectares;-;Hectares
MU;2409605;Pedra Preta (RN);960;Hectares;-;Hectares
MU;2409704;Pedro Avelino (RN);750;Hectares;-;Hectares
MU;2409803;Pedro Velho (RN);2760;Hectares;-;Hectares
MU;2409902;Pendências (RN);1014;Hectares;-;Hectares
MU;2410009;Pilões (RN);402;Hectares;-;Hectares
MU;2410108;Poço Branco (RN);1360;Hectares;-;Hectares
MU;2410207;Portalegre (RN);441;Hectares;-;Hectares
MU;2410256;Porto do Mangue (RN);920;Hectares;-;Hectares
MU;2410306;Serra Caiada (RN);2106;Hectares;-;Hectares
MU;2410405;Pureza (RN);5549;Hectares;-;Hectares
MU;2410504;Rafael Fernandes (RN);211;Hectares;-;Hectares
MU;2410603;Rafael Godeiro (RN);436;Hectares;-;Hectares
MU;2410702;Riacho da Cruz (RN);295;Hectares;-;Hectares
MU;2410801;Riacho de Santana (RN);450;Hectares;-;Hectares
MU;2410900;Riachuelo (RN);909;Hectares;-;Hectares
MU;2411007;Rodolfo Fernandes (RN);442;Hectares;-;Hectares
MU;2411056;Tibau (RN);2640;Hectares;-;Hectares
MU;2411106;Ruy Barbosa (RN);605;Hectares;-;Hectares
MU;2411205;Santa Cruz (RN);2516;Hectares;-;Hectares
MU;2411403;Santana do Matos (RN);3320;Hectares;-;Hectares
MU;2411429;Santana do Seridó (RN);308;Hectares;-;Hectares
MU;2411502;Santo Antônio (RN);3570;Hectares;-;Hectares
MU;2411601;São Bento do Norte (RN);600;Hectares;-;Hectares
MU;2411700;São Bento do Trairí (RN);1000;Hectares;-;Hectares
MU;2411809;São Fernando (RN);148;Hectares;-;Hectares
MU;2411908;São Francisco do Oeste (RN);402;Hectares;-;Hectares
MU;2412005;São Gonçalo do Amarante (RN);1450;Hectares;-;Hectares
MU;2412104;São João do Sabugi (RN);219;Hectares;-;Hectares
MU;2412203;São José de Mipibu (RN);4880;Hectares;-;Hectares
MU;2412302;São José do Campestre (RN);4126;Hectares;-;Hectares
MU;2412401;São José do Seridó (RN);420;Hectares;-;Hectares
MU;2412500;São Miguel (RN);2114;Hectares;-;Hectares
MU;2412559;São Miguel do Gostoso (RN);1885;Hectares;-;Hectares
MU;2412609;São Paulo do Potengi (RN);1742;Hectares;-;Hectares
MU;2412708;São Pedro (RN);1056;Hectares;-;Hectares
MU;2412807;São Rafael (RN);500;Hectares;-;Hectares
MU;2412906;São Tomé (RN);1061;Hectares;-;Hectares
MU;2413003;São Vicente (RN);473;Hectares;-;Hectares
MU;2413102;Senador Elói de Souza (RN);1309;Hectares;-;Hectares
MU;2413201;Senador Georgino Avelino (RN);140;Hectares;-;Hectares
MU;2413300;Serra de São Bento (RN);885;Hectares;-;Hectares
MU;2413359;Serra do Mel (RN);12420;Hectares;-;Hectares
MU;2413409;Serra Negra do Norte (RN);740;Hectares;-;Hectares
MU;2413508;Serrinha (RN);130;Hectares;-;Hectares
MU;2413557;Serrinha dos Pintos (RN);330;Hectares;-;Hectares
MU;2413607;Severiano Melo (RN);647;Hectares;-;Hectares
MU;2413706;Sítio Novo (RN);606;Hectares;-;Hectares
MU;2413805;Taboleiro Grande (RN);285;Hectares;-;Hectares
MU;2413904;Taipu (RN);2515;Hectares;-;Hectares
MU;2414001;Tangará (RN);1019;Hectares;-;Hectares
MU;2414100;Tenente Ananias (RN);404;Hectares;-;Hectares
MU;2414159;Tenente Laurentino Cruz (RN);1715;Hectares;-;Hectares
MU;2414209;Tibau do Sul (RN);2100;Hectares;-;Hectares
MU;2414308;Timbaúba dos Batistas (RN);118;Hectares;-;Hectares
MU;2414407;Touros (RN);5481;Hectares;-;Hectares
MU;2414456;Triunfo Potiguar (RN);293;Hectares;-;Hectares
MU;2414506;Umarizal (RN);640;Hectares;-;Hectares
MU;2414605;Upanema (RN);1820;Hectares;-;Hectares
MU;2414704;Várzea (RN);180;Hectares;-;Hectares
MU;2414753;Venha-Ver (RN);799;Hectares;-;Hectares
MU;2414803;Vera Cruz (RN);1900;Hectares;-;Hectares
MU;2414902;Viçosa (RN);142;Hectares;-;Hectares
MU;2415008;Vila Flor (RN);425;Hectares;-;Hectares
MU;2500106;Água Branca (PB);1576;Hectares;-;Hectares
MU;2500205;Aguiar (PB);953;Hectares;-;Hectares
MU;2500304;Alagoa Grande (PB);5518;Hectares;-;Hectares
MU;2500403;Alagoa Nova (PB);2412;Hectares;-;Hectares
MU;2500502;Alagoinha (PB);1001;Hectares;-;Hectares
MU;2500536;Alcantil (PB);511;Hectares;-;Hectares
MU;2500577;Algodão de Jandaíra (PB);170;Hectares;-;Hectares
MU;2500601;Alhandra (PB);3562;Hectares;-;Hectares
MU;2500700;São João do Rio do Peixe (PB);1010;Hectares;-;Hectares
MU;2500734;Amparo (PB);702;Hectares;-;Hectares
MU;2500775;Aparecida (PB);380;Hectares;-;Hectares
MU;2500809;Araçagi (PB);4260;Hectares;-;Hectares
MU;2500908;Arara (PB);3035;Hectares;-;Hectares
MU;2501005;Araruna (PB);3525;Hectares;-;Hectares
MU;2501104;Areia (PB);2065;Hectares;-;Hectares
MU;2501153;Areia de Baraúnas (PB);409;Hectares;-;Hectares
MU;2501203;Areial (PB);1180;Hectares;-;Hectares
MU;2501302;Aroeiras (PB);1165;Hectares;-;Hectares
MU;2501351;Assunção (PB);541;Hectares;-;Hectares
MU;2501401;Baía da Traição (PB);1495;Hectares;-;Hectares
MU;2501500;Bananeiras (PB);1703;Hectares;-;Hectares
MU;2501534;Baraúna (PB);858;Hectares;-;Hectares
MU;2501575;Barra de Santana (PB);78;Hectares;-;Hectares
MU;2501609;Barra de Santa Rosa (PB);3210;Hectares;-;Hectares
MU;2501708;Barra de São Miguel (PB);722;Hectares;-;Hectares
MU;2501807;Bayeux (PB);6;Hectares;-;Hectares
MU;2501906;Belém (PB);1000;Hectares;-;Hectares
MU;2502003;Belém do Brejo do Cruz (PB);226;Hectares;-;Hectares
MU;2502052;Bernardino Batista (PB);549;Hectares;-;Hectares
MU;2502102;Boa Ventura (PB);595;Hectares;-;Hectares
MU;2502151;Boa Vista (PB);118;Hectares;-;Hectares
MU;2502201;Bom Jesus (PB);200;Hectares;-;Hectares
MU;2502300;Bom Sucesso (PB);790;Hectares;-;Hectares
MU;2502409;Bonito de Santa Fé (PB);1470;Hectares;-;Hectares
MU;2502508;Boqueirão (PB);830;Hectares;-;Hectares
MU;2502607;Igaracy (PB);807;Hectares;-;Hectares
MU;2502706;Borborema (PB);549;Hectares;-;Hectares
MU;2502805;Brejo do Cruz (PB);425;Hectares;-;Hectares
MU;2502904;Brejo dos Santos (PB);284;Hectares;-;Hectares
MU;2503001;Caaporã (PB);1531;Hectares;-;Hectares
MU;2503100;Cabaceiras (PB);265;Hectares;-;Hectares
MU;2503209;Cabedelo (PB);...;Hectares;...;Hectares
MU;2503308;Cachoeira dos Índios (PB);584;Hectares;-;Hectares
MU;2503407;Cacimba de Areia (PB);831;Hectares;-;Hectares
MU;2503506;Cacimba de Dentro (PB);3457;Hectares;-;Hectares
MU;2503555;Cacimbas (PB);1419;Hectares;-;Hectares
MU;2503605;Caiçara (PB);484;Hectares;-;Hectares
MU;2503704;Cajazeiras (PB);476;Hectares;-;Hectares
MU;2503753;Cajazeirinhas (PB);398;Hectares;-;Hectares
MU;2503803;Caldas Brandão (PB);493;Hectares;-;Hectares
MU;2503902;Camalaú (PB);308;Hectares;-;Hectares
MU;2504009;Campina Grande (PB);3302;Hectares;-;Hectares
MU;2504033;Capim (PB);1650;Hectares;-;Hectares
MU;2504074;Caraúbas (PB);525;Hectares;-;Hectares
MU;2504108;Carrapateira (PB);158;Hectares;-;Hectares
MU;2504157;Casserengue (PB);5378;Hectares;-;Hectares
MU;2504207;Catingueira (PB);827;Hectares;-;Hectares
MU;2504306;Catolé do Rocha (PB);608;Hectares;-;Hectares
MU;2504355;Caturité (PB);787;Hectares;-;Hectares
MU;2504405;Conceição (PB);2351;Hectares;-;Hectares
MU;2504504;Condado (PB);515;Hectares;-;Hectares
MU;2504603;Conde (PB);985;Hectares;-;Hectares
MU;2504702;Congo (PB);442;Hectares;-;Hectares
MU;2504801;Coremas (PB);626;Hectares;-;Hectares
MU;2504850;Coxixola (PB);406;Hectares;-;Hectares
MU;2504900;Cruz do Espírito Santo (PB);6615;Hectares;-;Hectares
MU;2505006;Cubati (PB);1160;Hectares;-;Hectares
MU;2505105;Cuité (PB);3040;Hectares;-;Hectares
MU;2505204;Cuitegi (PB);410;Hectares;-;Hectares
MU;2505238;Cuité de Mamanguape (PB);1625;Hectares;-;Hectares
MU;2505279;Curral de Cima (PB);980;Hectares;-;Hectares
MU;2505303;Curral Velho (PB);515;Hectares;-;Hectares
MU;2505352;Damião (PB);1759;Hectares;-;Hectares
MU;2505402;Desterro (PB);1025;Hectares;-;Hectares
MU;2505501;Vista Serrana (PB);135;Hectares;-;Hectares
MU;2505600;Diamante (PB);910;Hectares;-;Hectares
MU;2505709;Dona Inês (PB);2010;Hectares;-;Hectares
MU;2505808;Duas Estradas (PB);377;Hectares;-;Hectares
MU;2505907;Emas (PB);596;Hectares;-;Hectares
MU;2506004;Esperança (PB);1673;Hectares;-;Hectares
MU;2506103;Fagundes (PB);1235;Hectares;-;Hectares
MU;2506202;Frei Martinho (PB);243;Hectares;-;Hectares
MU;2506251;Gado Bravo (PB);914;Hectares;-;Hectares
MU;2506301;Guarabira (PB);820;Hectares;-;Hectares
MU;2506400;Gurinhém (PB);2145;Hectares;-;Hectares
MU;2506509;Gurjão (PB);601;Hectares;-;Hectares
MU;2506608;Ibiara (PB);1095;Hectares;-;Hectares
MU;2506707;Imaculada (PB);1966;Hectares;-;Hectares
MU;2506806;Ingá (PB);1345;Hectares;-;Hectares
MU;2506905;Itabaiana (PB);1944;Hectares;-;Hectares
MU;2507002;Itaporanga (PB);2000;Hectares;-;Hectares
MU;2507101;Itapororoca (PB);5000;Hectares;-;Hectares
MU;2507200;Itatuba (PB);1736;Hectares;-;Hectares
MU;2507309;Jacaraú (PB);3088;Hectares;-;Hectares
MU;2507408;Jericó (PB);484;Hectares;-;Hectares
MU;2507507;João Pessoa (PB);83;Hectares;-;Hectares
MU;2507606;Juarez Távora (PB);647;Hectares;-;Hectares
MU;2507705;Juazeirinho (PB);2048;Hectares;-;Hectares
MU;2507804;Junco do Seridó (PB);1135;Hectares;-;Hectares
MU;2507903;Juripiranga (PB);4880;Hectares;-;Hectares
MU;2508000;Juru (PB);1821;Hectares;-;Hectares
MU;2508109;Lagoa (PB);123;Hectares;-;Hectares
MU;2508208;Lagoa de Dentro (PB);705;Hectares;-;Hectares
MU;2508307;Lagoa Seca (PB);1414;Hectares;-;Hectares
MU;2508406;Lastro (PB);175;Hectares;-;Hectares
MU;2508505;Livramento (PB);1644;Hectares;-;Hectares
MU;2508554;Logradouro (PB);250;Hectares;-;Hectares
MU;2508604;Lucena (PB);1979;Hectares;-;Hectares
MU;2508703;Mãe d'Água (PB);493;Hectares;-;Hectares
MU;2508802;Malta (PB);246;Hectares;-;Hectares
MU;2508901;Mamanguape (PB);8401;Hectares;-;Hectares
MU;2509008;Manaíra (PB);2477;Hectares;-;Hectares
MU;2509057;Marcação (PB);3469;Hectares;-;Hectares
MU;2509107;Mari (PB);4265;Hectares;-;Hectares
MU;2509156;Marizópolis (PB);240;Hectares;-;Hectares
MU;2509206;Massaranduba (PB);2232;Hectares;-;Hectares
MU;2509305;Mataraca (PB);4076;Hectares;-;Hectares
MU;2509339;Matinhas (PB);1170;Hectares;-;Hectares
MU;2509370;Mato Grosso (PB);250;Hectares;-;Hectares
MU;2509396;Maturéia (PB);1838;Hectares;-;Hectares
MU;2509404;Mogeiro (PB);3192;Hectares;-;Hectares
MU;2509503;Montadas (PB);1205;Hectares;-;Hectares
MU;2509602;Monte Horebe (PB);532;Hectares;-;Hectares
MU;2509701;Monteiro (PB);5099;Hectares;-;Hectares
MU;2509800;Mulungu (PB);1182;Hectares;-;Hectares
MU;2509909;Natuba (PB);735;Hectares;-;Hectares
MU;2510006;Nazarezinho (PB);563;Hectares;-;Hectares
MU;2510105;Nova Floresta (PB);620;Hectares;-;Hectares
MU;2510204;Nova Olinda (PB);607;Hectares;-;Hectares
MU;2510303;Nova Palmeira (PB);825;Hectares;-;Hectares
MU;2510402;Olho d'Água (PB);1320;Hectares;-;Hectares
MU;2510501;Olivedos (PB);380;Hectares;-;Hectares
MU;2510600;Ouro Velho (PB);467;Hectares;-;Hectares
MU;2510659;Parari (PB);365;Hectares;-;Hectares
MU;2510709;Passagem (PB);283;Hectares;-;Hectares
MU;2510808;Patos (PB);849;Hectares;-;Hectares
MU;2510907;Paulista (PB);264;Hectares;-;Hectares
MU;2511004;Pedra Branca (PB);695;Hectares;-;Hectares
MU;2511103;Pedra Lavrada (PB);2572;Hectares;-;Hectares
MU;2511202;Pedras de Fogo (PB);18095;Hectares;-;Hectares
MU;2511301;Piancó (PB);1253;Hectares;-;Hectares
MU;2511400;Picuí (PB);2545;Hectares;-;Hectares
MU;2511509;Pilar (PB);995;Hectares;-;Hectares
MU;2511608;Pilões (PB);780;Hectares;-;Hectares
MU;2511707;Pilõezinhos (PB);560;Hectares;-;Hectares
MU;2511806;Pirpirituba (PB);407;Hectares;-;Hectares
MU;2511905;Pitimbu (PB);1048;Hectares;-;Hectares
MU;2512002;Pocinhos (PB);700;Hectares;-;Hectares
MU;2512036;Poço Dantas (PB);450;Hectares;-;Hectares
MU;2512077;Poço de José de Moura (PB);490;Hectares;-;Hectares
MU;2512101;Pombal (PB);360;Hectares;-;Hectares
MU;2512200;Prata (PB);267;Hectares;-;Hectares
MU;2512309;Princesa Isabel (PB);4446;Hectares;-;Hectares
MU;2512408;Puxinanã (PB);2615;Hectares;-;Hectares
MU;2512507;Queimadas (PB);2597;Hectares;-;Hectares
MU;2512606;Quixaba (PB);214;Hectares;-;Hectares
MU;2512705;Remígio (PB);1163;Hectares;-;Hectares
MU;2512721;Pedro Régis (PB);375;Hectares;-;Hectares
MU;2512747;Riachão (PB);670;Hectares;-;Hectares
MU;2512754;Riachão do Bacamarte (PB);452;Hectares;-;Hectares
MU;2512762;Riachão do Poço (PB);413;Hectares;-;Hectares
MU;2512788;Riacho de Santo Antônio (PB);115;Hectares;-;Hectares
MU;2512804;Riacho dos Cavalos (PB);903;Hectares;-;Hectares
MU;2512903;Rio Tinto (PB);9719;Hectares;-;Hectares
MU;2513000;Salgadinho (PB);804;Hectares;-;Hectares
MU;2513109;Salgado de São Félix (PB);674;Hectares;-;Hectares
MU;2513158;Santa Cecília (PB);816;Hectares;-;Hectares
MU;2513208;Santa Cruz (PB);181;Hectares;-;Hectares
MU;2513307;Santa Helena (PB);901;Hectares;-;Hectares
MU;2513356;Santa Inês (PB);642;Hectares;-;Hectares
MU;2513406;Santa Luzia (PB);658;Hectares;-;Hectares
MU;2513505;Santana de Mangueira (PB);1245;Hectares;-;Hectares
MU;2513604;Santana dos Garrotes (PB);1036;Hectares;-;Hectares
MU;2513653;Joca Claudino (PB);353;Hectares;-;Hectares
MU;2513703;Santa Rita (PB);15430;Hectares;-;Hectares
MU;2513802;Santa Teresinha (PB);617;Hectares;-;Hectares
MU;2513851;Santo André (PB);1222;Hectares;-;Hectares
MU;2513901;São Bento (PB);444;Hectares;-;Hectares
MU;2513927;São Bentinho (PB);229;Hectares;-;Hectares
MU;2513943;São Domingos do Cariri (PB);318;Hectares;-;Hectares
MU;2513968;São Domingos (PB);145;Hectares;-;Hectares
MU;2513984;São Francisco (PB);242;Hectares;-;Hectares
MU;2514008;São João do Cariri (PB);808;Hectares;-;Hectares
MU;2514107;São João do Tigre (PB);802;Hectares;-;Hectares
MU;2514206;São José da Lagoa Tapada (PB);580;Hectares;-;Hectares
MU;2514305;São José de Caiana (PB);830;Hectares;-;Hectares
MU;2514404;São José de Espinharas (PB);771;Hectares;-;Hectares
MU;2514453;São José dos Ramos (PB);1062;Hectares;-;Hectares
MU;2514503;São José de Piranhas (PB);835;Hectares;-;Hectares
MU;2514552;São José de Princesa (PB);2157;Hectares;-;Hectares
MU;2514602;São José do Bonfim (PB);495;Hectares;-;Hectares
MU;2514651;São José do Brejo do Cruz (PB);380;Hectares;-;Hectares
MU;2514701;São José do Sabugi (PB);561;Hectares;-;Hectares
MU;2514800;São José dos Cordeiros (PB);1200;Hectares;-;Hectares
MU;2514909;São Mamede (PB);698;Hectares;-;Hectares
MU;2515005;São Miguel de Taipu (PB);737;Hectares;-;Hectares
MU;2515104;São Sebastião de Lagoa de Roça (PB);597;Hectares;-;Hectares
MU;2515203;São Sebastião do Umbuzeiro (PB);411;Hectares;-;Hectares
MU;2515302;Sapé (PB);11675;Hectares;-;Hectares
MU;2515401;São Vicente do Seridó (PB);2004;Hectares;-;Hectares
MU;2515500;Serra Branca (PB);1614;Hectares;-;Hectares
MU;2515609;Serra da Raiz (PB);342;Hectares;-;Hectares
MU;2515708;Serra Grande (PB);605;Hectares;-;Hectares
MU;2515807;Serra Redonda (PB);542;Hectares;-;Hectares
MU;2515906;Serraria (PB);754;Hectares;-;Hectares
MU;2515930;Sertãozinho (PB);486;Hectares;-;Hectares
MU;2515971;Sobrado (PB);775;Hectares;-;Hectares
MU;2516003;Solânea (PB);1850;Hectares;-;Hectares
MU;2516102;Soledade (PB);1025;Hectares;-;Hectares
MU;2516151;Sossêgo (PB);385;Hectares;-;Hectares
MU;2516201;Sousa (PB);3152;Hectares;-;Hectares
MU;2516300;Sumé (PB);1773;Hectares;-;Hectares
MU;2516409;Tacima (PB);1680;Hectares;-;Hectares
MU;2516508;Taperoá (PB);2016;Hectares;-;Hectares
MU;2516607;Tavares (PB);4113;Hectares;-;Hectares
MU;2516706;Teixeira (PB);2120;Hectares;-;Hectares
MU;2516755;Tenório (PB);659;Hectares;-;Hectares
MU;2516805;Triunfo (PB);819;Hectares;-;Hectares
MU;2516904;Uiraúna (PB);833;Hectares;-;Hectares
MU;2517001;Umbuzeiro (PB);518;Hectares;-;Hectares
MU;2517100;Várzea (PB);510;Hectares;-;Hectares
MU;2517209;Vieirópolis (PB);441;Hectares;-;Hectares
MU;2517407;Zabelê (PB);405;Hectares;-;Hectares
MU;2600054;Abreu e Lima (PE);343;Hectares;-;Hectares
MU;2600104;Afogados da Ingazeira (PE);4093;Hectares;-;Hectares
MU;2600203;Afrânio (PE);6400;Hectares;-;Hectares
MU;2600302;Agrestina (PE);670;Hectares;-;Hectares
MU;2600401;Água Preta (PE);3134;Hectares;-;Hectares
MU;2600500;Águas Belas (PE);3265;Hectares;-;Hectares
MU;2600609;Alagoinha (PE);245;Hectares;-;Hectares
MU;2600708;Aliança (PE);10080;Hectares;-;Hectares
MU;2600807;Altinho (PE);1170;Hectares;-;Hectares
MU;2600906;Amaraji (PE);6832;Hectares;-;Hectares
MU;2601003;Angelim (PE);854;Hectares;-;Hectares
MU;2601052;Araçoiaba (PE);1128;Hectares;-;Hectares
MU;2601102;Araripina (PE);27000;Hectares;-;Hectares
MU;2601201;Arcoverde (PE);1153;Hectares;-;Hectares
MU;2601300;Barra de Guabiraba (PE);605;Hectares;-;Hectares
MU;2601409;Barreiros (PE);2610;Hectares;-;Hectares
MU;2601508;Belém de Maria (PE);1300;Hectares;-;Hectares
MU;2601607;Belém do São Francisco (PE);560;Hectares;-;Hectares
MU;2601706;Belo Jardim (PE);750;Hectares;-;Hectares
MU;2601805;Betânia (PE);5050;Hectares;-;Hectares
MU;2601904;Bezerros (PE);1115;Hectares;-;Hectares
MU;2602001;Bodocó (PE);10600;Hectares;-;Hectares
MU;2602100;Bom Conselho (PE);3078;Hectares;-;Hectares
MU;2602209;Bom Jardim (PE);3528;Hectares;-;Hectares
MU;2602308;Bonito (PE);660;Hectares;-;Hectares
MU;2602407;Brejão (PE);698;Hectares;-;Hectares
MU;2602506;Brejinho (PE);2725;Hectares;-;Hectares
MU;2602605;Brejo da Madre de Deus (PE);276;Hectares;-;Hectares
MU;2602704;Buenos Aires (PE);3102;Hectares;-;Hectares
MU;2602803;Buíque (PE);1200;Hectares;-;Hectares
MU;2602902;Cabo de Santo Agostinho (PE);8307;Hectares;-;Hectares
MU;2603009;Cabrobó (PE);3468;Hectares;-;Hectares
MU;2603108;Cachoeirinha (PE);620;Hectares;-;Hectares
MU;2603207;Caetés (PE);8782;Hectares;-;Hectares
MU;2603306;Calçado (PE);5660;Hectares;-;Hectares
MU;2603405;Calumbi (PE);665;Hectares;-;Hectares
MU;2603454;Camaragibe (PE);120;Hectares;-;Hectares
MU;2603504;Camocim de São Félix (PE);215;Hectares;-;Hectares
MU;2603603;Camutanga (PE);2066;Hectares;-;Hectares
MU;2603702;Canhotinho (PE);2650;Hectares;-;Hectares
MU;2603801;Capoeiras (PE);1548;Hectares;-;Hectares
MU;2603900;Carnaíba (PE);7980;Hectares;-;Hectares
MU;2603926;Carnaubeira da Penha (PE);3125;Hectares;-;Hectares
MU;2604007;Carpina (PE);2028;Hectares;-;Hectares
MU;2604106;Caruaru (PE);1608;Hectares;-;Hectares
MU;2604155;Casinhas (PE);2300;Hectares;-;Hectares
MU;2604205;Catende (PE);675;Hectares;-;Hectares
